file name,storage class,capacity (GiB),average random read latency (ms),average random write latency (ms),random read IOPS,random write IOPS,random read BW (MiB/s),random write BW (MiB/s),sequential read BW (MiB/s),sequential write BW(MiB/s),mixed random read IOPS,mixed random write IOPS
gcp/results/standard-rwo-100Gi-output.txt,standard-rwo,100,6.66493,6.66855,595,595.,28,27,33,31,453,141


gcp/results/standard-rwo-10Gi-output.txt,standard-rwo,10,13.3438,13.352,295,295.,14,13,16,15,220,75
gcp/results/standard-rwo-10Gi-output.txt,standard-rwo,10,13.3437,13.3468,295,295.,14,13,16,16,219,75
gcp/results/standard-rwo-10Gi-output.txt,standard-rwo,10,13.3386,13.35,295,295.,14,13,17,15,218,77
gcp/results/standard-rwo-10Gi-output.txt,standard-rwo,10,13.3405,13.3498,295,295.,14,13,17,15,220,74


gcp/results/standard-rwo-500Gi-output.txt,standard-rwo,500,1.3308,1.33084,2994,2994.,140,140,140,141,2239,754
gcp/results/standard-rwo-500Gi-output.txt,standard-rwo,500,1.33106,1.33118,2994,2994.,140,140,141,140,2258,736
gcp/results/standard-rwo-500Gi-output.txt,standard-rwo,500,1.33087,1.33071,2994,2994.,140,140,140,140,2239,755


